epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0078,0.94935,2.44384,0.95898,0.00233,1,0.70401,0.48231,0.83358,3.696,0.87318,0.000648148,0.000648148,0.000648148
2,59.8771,1.002,1.73941,1.0245,0.95944,0.71429,0.71589,0.57274,0.8885,3.50178,0.93859,0.00131048,0.00131048,0.00131048
3,89.0252,1.0378,1.58014,1.03335,0.97227,0.71429,0.72807,0.58427,1.07298,3.73379,1.01489,0.0019684,0.0019684,0.0019684
4,120.382,1.03843,1.54377,1.07327,0.77526,0.57143,0.65747,0.48156,1.24129,3.45449,1.09945,0.0019802,0.0019802,0.0019802
5,151.499,0.97176,1.37976,1.01392,1,0.84778,0.85587,0.66679,1.12907,2.66832,0.98592,0.0019736,0.0019736,0.0019736
6,195.909,1.02336,1.34607,1.08478,0.82917,0.71429,0.61676,0.46782,1.16272,3.95186,0.98599,0.001967,0.001967,0.001967
7,261.821,1.01175,1.3864,1.066,0.93999,0.71429,0.71937,0.55131,1.10321,3.28964,1.0073,0.0019604,0.0019604,0.0019604
8,321.477,0.99626,1.24066,1.03433,0.97852,0.71429,0.7772,0.57681,1.08667,2.2323,0.94078,0.0019538,0.0019538,0.0019538
9,366.148,0.94755,1.18058,1.05291,0.79824,0.57143,0.68277,0.51315,0.9935,2.88837,0.94014,0.0019472,0.0019472,0.0019472
10,400.726,0.93066,1.03906,1.02802,0.79088,0.71429,0.7205,0.55765,0.94058,3.52454,0.94807,0.0019406,0.0019406,0.0019406
11,432.518,0.89452,0.98505,0.99259,0.9613,0.71429,0.71632,0.55843,1.1538,2.85624,1.0193,0.001934,0.001934,0.001934
12,465.954,0.95522,1.01563,1.01611,0.8466,0.85714,0.83564,0.64495,1.17178,2.17325,0.98734,0.0019274,0.0019274,0.0019274
13,500.688,0.90193,1.00046,1.01411,1,0.85311,0.85555,0.6512,1.09572,1.80706,0.90928,0.0019208,0.0019208,0.0019208
14,4092.63,0.91924,0.92966,1.00417,1,0.84667,0.85515,0.67264,1.12334,1.96776,0.92337,0.0019142,0.0019142,0.0019142
15,4125.59,0.9388,0.89382,1.06281,0.96861,0.71429,0.8206,0.67168,1.1256,2.26267,0.96987,0.0019076,0.0019076,0.0019076
16,4168.93,0.87536,0.87642,0.98683,1,0.85452,0.8572,0.68296,1.06333,1.6728,0.92632,0.001901,0.001901,0.001901
17,4205.85,0.93428,0.81704,0.98905,0.85702,0.8564,0.75419,0.60689,1.07299,1.78942,0.93571,0.0018944,0.0018944,0.0018944
18,4245.57,0.91561,0.79206,0.99626,0.94111,0.71429,0.79938,0.65791,0.93653,1.98831,0.92768,0.0018878,0.0018878,0.0018878
19,4293.62,0.88593,0.79096,1.00162,0.98896,0.71429,0.82015,0.66125,0.97647,1.74016,0.86913,0.0018812,0.0018812,0.0018812
20,4333.96,0.87522,0.79288,1.00128,0.98508,0.71429,0.75936,0.62398,0.94494,1.89145,0.89413,0.0018746,0.0018746,0.0018746
