epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.12,0.50965,1.44186,0.91005,0.99397,0.9689,0.99381,0.92564,0.38524,2.27163,0.76463,0.000545377,0.000545377,0.000545377
2,361.146,0.50461,0.86992,0.89262,1,0.99251,0.995,0.90723,0.39144,1.26016,0.7796,0.00109378,0.00109378,0.00109378
3,535.474,0.49612,0.74564,0.89692,0.98122,0.99412,0.99465,0.89804,0.4134,0.83147,0.77778,0.00163484,0.00163484,0.00163484
4,719.288,0.49503,0.65925,0.88924,0.99428,0.98824,0.99494,0.91728,0.37751,0.75183,0.78694,0.00163399,0.00163399,0.00163399
5,924.259,0.46978,0.57692,0.88361,0.99566,0.98824,0.99488,0.93761,0.36246,0.62453,0.77887,0.00162299,0.00162299,0.00162299
6,1116.33,0.45853,0.51075,0.88464,0.9995,0.99412,0.995,0.91136,0.36948,0.46762,0.78659,0.00161199,0.00161199,0.00161199
7,1311.25,0.45793,0.49037,0.87292,0.9987,0.99412,0.995,0.91423,0.38393,0.41474,0.78779,0.00160099,0.00160099,0.00160099
8,1503.45,0.44292,0.44559,0.88195,0.99939,0.99412,0.995,0.93168,0.3457,0.34884,0.7792,0.00158998,0.00158998,0.00158998
9,1700.42,0.44687,0.43842,0.8808,0.99944,0.99412,0.995,0.94079,0.34404,0.37441,0.78116,0.00157898,0.00157898,0.00157898
10,1916.29,0.45972,0.45048,0.88369,0.99674,0.99412,0.995,0.9267,0.34564,0.35922,0.77284,0.00156798,0.00156798,0.00156798
11,2146.91,0.43568,0.42378,0.87816,0.99409,0.98881,0.99494,0.93543,0.33826,0.33404,0.77442,0.00155698,0.00155698,0.00155698
12,2523.7,0.41989,0.38168,0.86967,0.99933,0.99412,0.995,0.93414,0.35783,0.31744,0.78556,0.00154598,0.00154598,0.00154598
13,2706.07,0.40729,0.37641,0.86422,0.99906,0.99412,0.995,0.94847,0.31191,0.28875,0.76799,0.00153497,0.00153497,0.00153497
